epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
86,1669.42,0.52294,0.36264,1.07028,0.93932,0.88135,0.93873,0.80941,0.59934,0.52724,1.15155,0.001585,0.001585,0.001585
87,1878.28,0.52758,0.36144,1.07133,0.93372,0.88073,0.93786,0.80732,0.60029,0.52673,1.1525,0.001486,0.001486,0.001486
88,2084.56,0.51521,0.35425,1.06541,0.93964,0.87992,0.93762,0.8082,0.59869,0.52862,1.15085,0.001387,0.001387,0.001387
89,2291.6,0.51587,0.35367,1.06497,0.94393,0.87267,0.93758,0.80772,0.59834,0.52609,1.15044,0.001288,0.001288,0.001288
90,2497.62,0.51257,0.34871,1.06415,0.94073,0.8719,0.93758,0.80807,0.59807,0.52383,1.15051,0.001189,0.001189,0.001189
91,2701.1,0.47013,0.29982,1.06116,0.93653,0.87614,0.93493,0.80649,0.59707,0.52348,1.1477,0.00109,0.00109,0.00109
92,2900.26,0.4624,0.28693,1.05504,0.93572,0.87686,0.93621,0.80789,0.59444,0.52431,1.14345,0.000991,0.000991,0.000991
93,3098.88,0.45524,0.28195,1.04533,0.92507,0.88206,0.93727,0.8094,0.59358,0.52397,1.14082,0.000892,0.000892,0.000892
94,3299.43,0.44696,0.27489,1.04074,0.94604,0.87198,0.93698,0.80974,0.59369,0.5208,1.14068,0.000793,0.000793,0.000793
95,3501.67,0.44327,0.27242,1.03567,0.94293,0.8741,0.93779,0.8104,0.59276,0.5158,1.14006,0.000694,0.000694,0.000694
96,3703.99,0.43732,0.26718,1.0279,0.94632,0.87445,0.93799,0.81013,0.59035,0.50094,1.13746,0.000595,0.000595,0.000595
97,3903.65,0.43535,0.26373,1.03227,0.94402,0.87547,0.93792,0.80943,0.58965,0.48862,1.13692,0.000496,0.000496,0.000496
98,4103.51,0.42542,0.25731,1.02312,0.94305,0.87763,0.93767,0.81029,0.58887,0.48505,1.13657,0.000397,0.000397,0.000397
99,4303.38,0.426,0.25869,1.02544,0.94232,0.8774,0.93691,0.8098,0.58889,0.48135,1.13731,0.000298,0.000298,0.000298
